opera1,track_1,track_2,track_3,track_4,track_5,youtube_1,youtube_2,youtube_3,youtube_4,youtube_5,act_1,act_2,act_3,act_4,act_5
Aida11,Marcia trionfale,Si corre voce che l'Etiope,Alta cagion v'aduna,Radames Radames Radames!,Ritorna vincitor,http://www.youtube.com/watch?v=AssDQbaIP_I,http://www.youtube.com/watch?v=WJOj0i_3Qcs,http://www.youtube.com/watch?v=lhxxpYTT81k,http://www.youtube.com/watch?v=VbSL6C0JQYQ,http://www.youtube.com/watch?v=sg6ESlimzQU,2.08-1 ,1.02,1.07,4.09,1.10-1 
Aida12,Marcia trionfale,Si corre voce che l'Etiope,Alta cagion v'aduna,Radames Radames Radames!,Ritorna vincitor,http://www.youtube.com/watch?v=AssDQbaIP_I,http://www.youtube.com/watch?v=WJOj0i_3Qcs,http://www.youtube.com/watch?v=lhxxpYTT81k,http://www.youtube.com/watch?v=VbSL6C0JQYQ,http://www.youtube.com/watch?v=sg6ESlimzQU,2.08-1 ,1.02,1.07,4.09,1.10-1 
Aida13,Marcia trionfale,Si corre voce che l'Etiope,Alta cagion v'aduna,Radames Radames Radames!,Ritorna vincitor,http://www.youtube.com/watch?v=AssDQbaIP_I,http://www.youtube.com/watch?v=WJOj0i_3Qcs,http://www.youtube.com/watch?v=lhxxpYTT81k,http://www.youtube.com/watch?v=VbSL6C0JQYQ,http://www.youtube.com/watch?v=sg6ESlimzQU,2.08-1 ,1.02,1.07,4.09,1.10-1 
Aida14,Marcia trionfale,Si corre voce che l'Etiope,Alta cagion v'aduna,Radames Radames Radames!,Ritorna vincitor,http://www.youtube.com/watch?v=AssDQbaIP_I,http://www.youtube.com/watch?v=WJOj0i_3Qcs,http://www.youtube.com/watch?v=lhxxpYTT81k,http://www.youtube.com/watch?v=VbSL6C0JQYQ,http://www.youtube.com/watch?v=sg6ESlimzQU,2.08-1 ,1.02,1.07,4.09,1.10-1 
Aida2,Marcia trionfale,Si corre voce che l'Etiope,Alta cagion v'aduna,Radames Radames Radames!,Ritorna vincitor,http://www.youtube.com/watch?v=AssDQbaIP_I,http://www.youtube.com/watch?v=WJOj0i_3Qcs,http://www.youtube.com/watch?v=lhxxpYTT81k,http://www.youtube.com/watch?v=VbSL6C0JQYQ,http://www.youtube.com/watch?v=sg6ESlimzQU,2.08-1 ,1.02,1.07,4.09,1.10-1 
Aida3,Marcia trionfale,Si corre voce che l'Etiope,Alta cagion v'aduna,Radames Radames Radames!,Ritorna vincitor,http://www.youtube.com/watch?v=AssDQbaIP_I,http://www.youtube.com/watch?v=WJOj0i_3Qcs,http://www.youtube.com/watch?v=lhxxpYTT81k,http://www.youtube.com/watch?v=VbSL6C0JQYQ,http://www.youtube.com/watch?v=sg6ESlimzQU,2.08-1 ,1.02,1.07,4.09,1.10-1 
Aida4,Marcia trionfale,Si corre voce che l'Etiope,Alta cagion v'aduna,Radames Radames Radames!,Ritorna vincitor,http://www.youtube.com/watch?v=AssDQbaIP_I,http://www.youtube.com/watch?v=WJOj0i_3Qcs,http://www.youtube.com/watch?v=lhxxpYTT81k,http://www.youtube.com/watch?v=VbSL6C0JQYQ,http://www.youtube.com/watch?v=sg6ESlimzQU,2.08-1 ,1.02,1.07,4.09,1.10-1 
Aida5,Marcia trionfale,Si corre voce che l'Etiope,Alta cagion v'aduna,Radames Radames Radames!,Ritorna vincitor,http://www.youtube.com/watch?v=AssDQbaIP_I,http://www.youtube.com/watch?v=WJOj0i_3Qcs,http://www.youtube.com/watch?v=lhxxpYTT81k,http://www.youtube.com/watch?v=VbSL6C0JQYQ,http://www.youtube.com/watch?v=sg6ESlimzQU,2.08-1 ,1.02,1.07,4.09,1.10-1 
Aida6,Marcia trionfale,Si corre voce che l'Etiope,Alta cagion v'aduna,Radames Radames Radames!,Ritorna vincitor,http://www.youtube.com/watch?v=AssDQbaIP_I,http://www.youtube.com/watch?v=WJOj0i_3Qcs,http://www.youtube.com/watch?v=lhxxpYTT81k,http://www.youtube.com/watch?v=VbSL6C0JQYQ,http://www.youtube.com/watch?v=sg6ESlimzQU,2.08-1 ,1.02,1.07,4.09,1.10-1 
Aida7,Marcia trionfale,Si corre voce che l'Etiope,Alta cagion v'aduna,Radames Radames Radames!,Ritorna vincitor,http://www.youtube.com/watch?v=AssDQbaIP_I,http://www.youtube.com/watch?v=WJOj0i_3Qcs,http://www.youtube.com/watch?v=lhxxpYTT81k,http://www.youtube.com/watch?v=VbSL6C0JQYQ,http://www.youtube.com/watch?v=sg6ESlimzQU,2.08-1 ,1.02,1.07,4.09,1.10-1 
Aida8,Marcia trionfale,Si corre voce che l'Etiope,Alta cagion v'aduna,Radames Radames Radames!,Ritorna vincitor,http://www.youtube.com/watch?v=AssDQbaIP_I,http://www.youtube.com/watch?v=WJOj0i_3Qcs,http://www.youtube.com/watch?v=lhxxpYTT81k,http://www.youtube.com/watch?v=VbSL6C0JQYQ,http://www.youtube.com/watch?v=sg6ESlimzQU,2.08-1 ,1.02,1.07,4.09,1.10-1 
Aida9,Marcia trionfale,Si corre voce che l'Etiope,Alta cagion v'aduna,Radames Radames Radames!,Ritorna vincitor,http://www.youtube.com/watch?v=AssDQbaIP_I,http://www.youtube.com/watch?v=WJOj0i_3Qcs,http://www.youtube.com/watch?v=lhxxpYTT81k,http://www.youtube.com/watch?v=VbSL6C0JQYQ,http://www.youtube.com/watch?v=sg6ESlimzQU,2.08-1 ,1.02,1.07,4.09,1.10-1 
Carmen1,L'amour est un oiseau rebelle (Habanera),"Votre toast, je peux vous le rendre (Toreador Song)",Overture,Avec la garde montante,La fleur que tu m'avais jetee,http://www.youtube.com/watch?v=K2snTkaD64U,http://www.youtube.com/watch?v=2fDkxQBjgFU,http://www.youtube.com/watch?v=pmuFOuh3QHs,http://www.youtube.com/watch?v=nf_2cu_i34U,http://www.youtube.com/watch?v=P0tUnqvRanM,1.07,2.04,1.01,1.04,2.09
Carmen10,L'amour est un oiseau rebelle (Habanera),"Votre toast, je peux vous le rendre (Toreador Song)",Overture,Avec la garde montante,La fleur que tu m'avais jetee,http://www.youtube.com/watch?v=K2snTkaD64U,http://www.youtube.com/watch?v=2fDkxQBjgFU,http://www.youtube.com/watch?v=pmuFOuh3QHs,http://www.youtube.com/watch?v=nf_2cu_i34U,http://www.youtube.com/watch?v=P0tUnqvRanM,1.07,2.04,1.01,1.04,2.09
Carmen11,L'amour est un oiseau rebelle (Habanera),"Votre toast, je peux vous le rendre (Toreador Song)",Overture,Avec la garde montante,La fleur que tu m'avais jetee,http://www.youtube.com/watch?v=K2snTkaD64U,http://www.youtube.com/watch?v=2fDkxQBjgFU,http://www.youtube.com/watch?v=pmuFOuh3QHs,http://www.youtube.com/watch?v=nf_2cu_i34U,http://www.youtube.com/watch?v=P0tUnqvRanM,1.07,2.04,1.01,1.04,2.09
Carmen12,L'amour est un oiseau rebelle (Habanera),"Votre toast, je peux vous le rendre (Toreador Song)",Overture,Avec la garde montante,La fleur que tu m'avais jetee,http://www.youtube.com/watch?v=K2snTkaD64U,http://www.youtube.com/watch?v=2fDkxQBjgFU,http://www.youtube.com/watch?v=pmuFOuh3QHs,http://www.youtube.com/watch?v=nf_2cu_i34U,http://www.youtube.com/watch?v=P0tUnqvRanM,1.07,2.04,1.01,1.04,2.09
Carmen13,L'amour est un oiseau rebelle (Habanera),"Votre toast, je peux vous le rendre (Toreador Song)",Overture,Avec la garde montante,La fleur que tu m'avais jetee,http://www.youtube.com/watch?v=K2snTkaD64U,http://www.youtube.com/watch?v=2fDkxQBjgFU,http://www.youtube.com/watch?v=pmuFOuh3QHs,http://www.youtube.com/watch?v=nf_2cu_i34U,http://www.youtube.com/watch?v=P0tUnqvRanM,1.07,2.04,1.01,1.04,2.09
Carmen14,L'amour est un oiseau rebelle (Habanera),"Votre toast, je peux vous le rendre (Toreador Song)",Overture,Avec la garde montante,La fleur que tu m'avais jetee,http://www.youtube.com/watch?v=K2snTkaD64U,http://www.youtube.com/watch?v=2fDkxQBjgFU,http://www.youtube.com/watch?v=pmuFOuh3QHs,http://www.youtube.com/watch?v=nf_2cu_i34U,http://www.youtube.com/watch?v=P0tUnqvRanM,1.07,2.04,1.01,1.04,2.09
Carmen2,L'amour est un oiseau rebelle (Habanera),"Votre toast, je peux vous le rendre (Toreador Song)",Overture,Avec la garde montante,La fleur que tu m'avais jetee,http://www.youtube.com/watch?v=K2snTkaD64U,http://www.youtube.com/watch?v=2fDkxQBjgFU,http://www.youtube.com/watch?v=pmuFOuh3QHs,http://www.youtube.com/watch?v=nf_2cu_i34U,http://www.youtube.com/watch?v=P0tUnqvRanM,1.07,2.04,1.01,1.04,2.09
Carmen3,L'amour est un oiseau rebelle (Habanera),"Votre toast, je peux vous le rendre (Toreador Song)",Overture,Avec la garde montante,La fleur que tu m'avais jetee,http://www.youtube.com/watch?v=K2snTkaD64U,http://www.youtube.com/watch?v=2fDkxQBjgFU,http://www.youtube.com/watch?v=pmuFOuh3QHs,http://www.youtube.com/watch?v=nf_2cu_i34U,http://www.youtube.com/watch?v=P0tUnqvRanM,1.07,2.04,1.01,1.04,2.09
Carmen4,L'amour est un oiseau rebelle (Habanera),"Votre toast, je peux vous le rendre (Toreador Song)",Overture,Avec la garde montante,La fleur que tu m'avais jetee,http://www.youtube.com/watch?v=K2snTkaD64U,http://www.youtube.com/watch?v=2fDkxQBjgFU,http://www.youtube.com/watch?v=pmuFOuh3QHs,http://www.youtube.com/watch?v=nf_2cu_i34U,http://www.youtube.com/watch?v=P0tUnqvRanM,1.07,2.04,1.01,1.04,2.09
Carmen5,L'amour est un oiseau rebelle (Habanera),"Votre toast, je peux vous le rendre (Toreador Song)",Overture,Avec la garde montante,La fleur que tu m'avais jetee,http://www.youtube.com/watch?v=K2snTkaD64U,http://www.youtube.com/watch?v=2fDkxQBjgFU,http://www.youtube.com/watch?v=pmuFOuh3QHs,http://www.youtube.com/watch?v=nf_2cu_i34U,http://www.youtube.com/watch?v=P0tUnqvRanM,1.07,2.04,1.01,1.04,2.09
Carmen6,L'amour est un oiseau rebelle (Habanera),"Votre toast, je peux vous le rendre (Toreador Song)",Overture,Avec la garde montante,La fleur que tu m'avais jetee,http://www.youtube.com/watch?v=K2snTkaD64U,http://www.youtube.com/watch?v=2fDkxQBjgFU,http://www.youtube.com/watch?v=pmuFOuh3QHs,http://www.youtube.com/watch?v=nf_2cu_i34U,http://www.youtube.com/watch?v=P0tUnqvRanM,1.07,2.04,1.01,1.04,2.09
Carmen7,L'amour est un oiseau rebelle (Habanera),"Votre toast, je peux vous le rendre (Toreador Song)",Overture,Avec la garde montante,La fleur que tu m'avais jetee,http://www.youtube.com/watch?v=K2snTkaD64U,http://www.youtube.com/watch?v=2fDkxQBjgFU,http://www.youtube.com/watch?v=pmuFOuh3QHs,http://www.youtube.com/watch?v=nf_2cu_i34U,http://www.youtube.com/watch?v=P0tUnqvRanM,1.07,2.04,1.01,1.04,2.09
Carmen8,L'amour est un oiseau rebelle (Habanera),"Votre toast, je peux vous le rendre (Toreador Song)",Overture,Avec la garde montante,La fleur que tu m'avais jetee,http://www.youtube.com/watch?v=K2snTkaD64U,http://www.youtube.com/watch?v=2fDkxQBjgFU,http://www.youtube.com/watch?v=pmuFOuh3QHs,http://www.youtube.com/watch?v=nf_2cu_i34U,http://www.youtube.com/watch?v=P0tUnqvRanM,1.07,2.04,1.01,1.04,2.09
Carmen9,L'amour est un oiseau rebelle (Habanera),"Votre toast, je peux vous le rendre (Toreador Song)",Overture,Avec la garde montante,La fleur que tu m'avais jetee,http://www.youtube.com/watch?v=K2snTkaD64U,http://www.youtube.com/watch?v=2fDkxQBjgFU,http://www.youtube.com/watch?v=pmuFOuh3QHs,http://www.youtube.com/watch?v=nf_2cu_i34U,http://www.youtube.com/watch?v=P0tUnqvRanM,1.07,2.04,1.01,1.04,2.09
Das_Rheingold1,Das Rheingold,Walhall,Abendlich strahlt der Sonne Auge,Nibelheim,Overture,http://www.youtube.com/watch?v=meGuEnjERxc,http://www.youtube.com/watch?v=b80Jw8MuZxo,http://www.youtube.com/watch?v=zB53Tg1_EdQ,http://www.youtube.com/watch?v=LQ3q3LyjnmA,http://www.youtube.com/watch?v=wiyoLa9z1ao,,,1,,1.01
Dialogues_Carmelites1,Salve Regina,Soeur Blanche de l'Agonie du Christ,Ave Maria,Pensez a la mort de notre chère mère,Dialogues des Carmèlites,http://www.youtube.com/watch?v=5zIVNSJNLno,http://www.youtube.com/watch?v=VrW995Z0DJs,http://www.youtube.com/watch?v=PUddIT7woMA,http://www.youtube.com/watch?v=MZ7E1lV-v0o,http://www.youtube.com/watch?v=yCnfrVbTxwk,3,1,2, , 
Dialogues_Carmelites2,Salve Regina,Soeur Blanche de l'Agonie du Christ,Ave Maria,Pensez a la mort de notre chère mère,Dialogues des Carmèlites,http://www.youtube.com/watch?v=5zIVNSJNLno,http://www.youtube.com/watch?v=VrW995Z0DJs,http://www.youtube.com/watch?v=PUddIT7woMA,http://www.youtube.com/watch?v=MZ7E1lV-v0o,http://www.youtube.com/watch?v=yCnfrVbTxwk,3,1,2, , 
Dialogues_Carmelites3,Salve Regina,Soeur Blanche de l'Agonie du Christ,Ave Maria,Pensez a la mort de notre chère mère,Dialogues des Carmèlites,http://www.youtube.com/watch?v=5zIVNSJNLno,http://www.youtube.com/watch?v=VrW995Z0DJs,http://www.youtube.com/watch?v=PUddIT7woMA,http://www.youtube.com/watch?v=MZ7E1lV-v0o,http://www.youtube.com/watch?v=yCnfrVbTxwk,3,1,2, , 
Die_Walküre1,Winterstürme wichen dem Wonnemond,Du bist der Lenz,Overture,Siegmund heiss ich,Leb wohl du kühnes herrliches Kind,http://www.youtube.com/watch?v=Ukufk2YUVKY,http://www.youtube.com/watch?v=NB5e62wSjEQ,http://www.youtube.com/watch?v=ncbHEKkdxIM,http://www.youtube.com/watch?v=vaBuZ42lTss,http://www.youtube.com/watch?v=4tDP-K1dQ-M,1.08,1.09,1.01,1.11,3.06
Die_Walküre2,Winterstürme wichen dem Wonnemond,Du bist der Lenz,Overture,Siegmund heiss ich,Leb wohl du kühnes herrliches Kind,http://www.youtube.com/watch?v=Ukufk2YUVKY,http://www.youtube.com/watch?v=NB5e62wSjEQ,http://www.youtube.com/watch?v=ncbHEKkdxIM,http://www.youtube.com/watch?v=vaBuZ42lTss,http://www.youtube.com/watch?v=4tDP-K1dQ-M,1.08,1.09,1.01,1.11,3.06
Die_Walküre3,Winterstürme wichen dem Wonnemond,Du bist der Lenz,Overture,Siegmund heiss ich,Leb wohl du kühnes herrliches Kind,http://www.youtube.com/watch?v=Ukufk2YUVKY,http://www.youtube.com/watch?v=NB5e62wSjEQ,http://www.youtube.com/watch?v=ncbHEKkdxIM,http://www.youtube.com/watch?v=vaBuZ42lTss,http://www.youtube.com/watch?v=4tDP-K1dQ-M,1.08,1.09,1.01,1.11,3.06
Die_Walküre4,Winterstürme wichen dem Wonnemond,Du bist der Lenz,Overture,Siegmund heiss ich,Leb wohl du kühnes herrliches Kind,http://www.youtube.com/watch?v=Ukufk2YUVKY,http://www.youtube.com/watch?v=NB5e62wSjEQ,http://www.youtube.com/watch?v=ncbHEKkdxIM,http://www.youtube.com/watch?v=vaBuZ42lTss,http://www.youtube.com/watch?v=4tDP-K1dQ-M,1.08,1.09,1.01,1.11,3.06
Die_Walküre5,Winterstürme wichen dem Wonnemond,Du bist der Lenz,Overture,Siegmund heiss ich,Leb wohl du kühnes herrliches Kind,http://www.youtube.com/watch?v=Ukufk2YUVKY,http://www.youtube.com/watch?v=NB5e62wSjEQ,http://www.youtube.com/watch?v=ncbHEKkdxIM,http://www.youtube.com/watch?v=vaBuZ42lTss,http://www.youtube.com/watch?v=4tDP-K1dQ-M,1.08,1.09,1.01,1.11,3.06
Die_Zauberflöte1,Der hölle Rache,Overture,Papagena Papagena Papagena!,Zu hilfe zu hilfe!,Der Vogelfänger bin ich ja,http://www.youtube.com/watch?v=JzFi-7H9TKs,http://www.youtube.com/watch?v=s2Gedb05J5M,http://www.youtube.com/watch?v=87UE2GC5db0,http://www.youtube.com/watch?v=61eIRl8BQFY,http://www.youtube.com/watch?v=DpMCRXyW7nk,2.11,1.01,2.3,1.02,1.04
Die_Zauberflöte2,Der hölle Rache,Overture,Papagena Papagena Papagena!,Zu hilfe zu hilfe!,Der Vogelfänger bin ich ja,http://www.youtube.com/watch?v=JzFi-7H9TKs,http://www.youtube.com/watch?v=s2Gedb05J5M,http://www.youtube.com/watch?v=87UE2GC5db0,http://www.youtube.com/watch?v=61eIRl8BQFY,http://www.youtube.com/watch?v=DpMCRXyW7nk,2.11,1.01,2.3,1.02,1.04
Die_Zauberflöte3,Der hölle Rache,Overture,Papagena Papagena Papagena!,Zu hilfe zu hilfe!,Der Vogelfänger bin ich ja,http://www.youtube.com/watch?v=JzFi-7H9TKs,http://www.youtube.com/watch?v=s2Gedb05J5M,http://www.youtube.com/watch?v=87UE2GC5db0,http://www.youtube.com/watch?v=61eIRl8BQFY,http://www.youtube.com/watch?v=DpMCRXyW7nk,2.11,1.01,2.3,1.02,1.04
Die_Zauberflöte4,Der hölle Rache,Overture,Papagena Papagena Papagena!,Zu hilfe zu hilfe!,Der Vogelfänger bin ich ja,http://www.youtube.com/watch?v=JzFi-7H9TKs,http://www.youtube.com/watch?v=s2Gedb05J5M,http://www.youtube.com/watch?v=87UE2GC5db0,http://www.youtube.com/watch?v=61eIRl8BQFY,http://www.youtube.com/watch?v=DpMCRXyW7nk,2.11,1.01,2.3,1.02,1.04
Die_Zauberflöte5,Der hölle Rache,Overture,Papagena Papagena Papagena!,Zu hilfe zu hilfe!,Der Vogelfänger bin ich ja,http://www.youtube.com/watch?v=JzFi-7H9TKs,http://www.youtube.com/watch?v=s2Gedb05J5M,http://www.youtube.com/watch?v=87UE2GC5db0,http://www.youtube.com/watch?v=61eIRl8BQFY,http://www.youtube.com/watch?v=DpMCRXyW7nk,2.11,1.01,2.3,1.02,1.04
Die_Zauberflöte6,Der hölle Rache,Overture,Papagena Papagena Papagena!,Zu hilfe zu hilfe!,Der Vogelfänger bin ich ja,http://www.youtube.com/watch?v=JzFi-7H9TKs,http://www.youtube.com/watch?v=s2Gedb05J5M,http://www.youtube.com/watch?v=87UE2GC5db0,http://www.youtube.com/watch?v=61eIRl8BQFY,http://www.youtube.com/watch?v=DpMCRXyW7nk,2.11,1.01,2.3,1.02,1.04
Die_Zauberflöte7,Der hölle Rache,Overture,Papagena Papagena Papagena!,Zu hilfe zu hilfe!,Der Vogelfänger bin ich ja,http://www.youtube.com/watch?v=JzFi-7H9TKs,http://www.youtube.com/watch?v=s2Gedb05J5M,http://www.youtube.com/watch?v=87UE2GC5db0,http://www.youtube.com/watch?v=61eIRl8BQFY,http://www.youtube.com/watch?v=DpMCRXyW7nk,2.11,1.01,2.3,1.02,1.04
Die_Zauberflöte8,Der hölle Rache,Overture,Papagena Papagena Papagena!,Zu hilfe zu hilfe!,Der Vogelfänger bin ich ja,http://www.youtube.com/watch?v=JzFi-7H9TKs,http://www.youtube.com/watch?v=s2Gedb05J5M,http://www.youtube.com/watch?v=87UE2GC5db0,http://www.youtube.com/watch?v=61eIRl8BQFY,http://www.youtube.com/watch?v=DpMCRXyW7nk,2.11,1.01,2.3,1.02,1.04
Don_Giovanni1,La ci darem la mano,Don Giovanni a cenar teco,Sola sola in buio loco,Leporello!,Ah! taci ingiusto core,http://www.youtube.com/watch?v=iJnJjpMdT3Y,http://www.youtube.com/watch?v=RzQMtnjiceY,http://www.youtube.com/watch?v=PaUSkXQZZ_s,http://www.youtube.com/watch?v=INF9r5jju0A,http://www.youtube.com/watch?v=1IwaqfepCgc,1.12,2.2,2.08,2.01-2 ,2.02-1 
Don_Giovanni2,La ci darem la mano,Don Giovanni a cenar teco,Sola sola in buio loco,Leporello!,Ah! taci ingiusto core,http://www.youtube.com/watch?v=iJnJjpMdT3Y,http://www.youtube.com/watch?v=RzQMtnjiceY,http://www.youtube.com/watch?v=PaUSkXQZZ_s,http://www.youtube.com/watch?v=INF9r5jju0A,http://www.youtube.com/watch?v=1IwaqfepCgc,1.12,2.2,2.08,2.01-2 ,2.02-1 
Don_Giovanni3,La ci darem la mano,Don Giovanni a cenar teco,Sola sola in buio loco,Leporello!,Ah! taci ingiusto core,http://www.youtube.com/watch?v=iJnJjpMdT3Y,http://www.youtube.com/watch?v=RzQMtnjiceY,http://www.youtube.com/watch?v=PaUSkXQZZ_s,http://www.youtube.com/watch?v=INF9r5jju0A,http://www.youtube.com/watch?v=1IwaqfepCgc,1.12,2.2,2.08,2.01-2 ,2.02-1 
Don_Giovanni4,La ci darem la mano,Don Giovanni a cenar teco,Sola sola in buio loco,Leporello!,Ah! taci ingiusto core,http://www.youtube.com/watch?v=iJnJjpMdT3Y,http://www.youtube.com/watch?v=RzQMtnjiceY,http://www.youtube.com/watch?v=PaUSkXQZZ_s,http://www.youtube.com/watch?v=INF9r5jju0A,http://www.youtube.com/watch?v=1IwaqfepCgc,1.12,2.2,2.08,2.01-2 ,2.02-1 
Don_Giovanni5,La ci darem la mano,Don Giovanni a cenar teco,Sola sola in buio loco,Leporello!,Ah! taci ingiusto core,http://www.youtube.com/watch?v=iJnJjpMdT3Y,http://www.youtube.com/watch?v=RzQMtnjiceY,http://www.youtube.com/watch?v=PaUSkXQZZ_s,http://www.youtube.com/watch?v=INF9r5jju0A,http://www.youtube.com/watch?v=1IwaqfepCgc,1.12,2.2,2.08,2.01-2 ,2.02-1 
Don_Giovanni6,La ci darem la mano,Don Giovanni a cenar teco,Sola sola in buio loco,Leporello!,Ah! taci ingiusto core,http://www.youtube.com/watch?v=iJnJjpMdT3Y,http://www.youtube.com/watch?v=RzQMtnjiceY,http://www.youtube.com/watch?v=PaUSkXQZZ_s,http://www.youtube.com/watch?v=INF9r5jju0A,http://www.youtube.com/watch?v=1IwaqfepCgc,1.12,2.2,2.08,2.01-2 ,2.02-1 
Don_Giovanni7,La ci darem la mano,Don Giovanni a cenar teco,Sola sola in buio loco,Leporello!,Ah! taci ingiusto core,http://www.youtube.com/watch?v=iJnJjpMdT3Y,http://www.youtube.com/watch?v=RzQMtnjiceY,http://www.youtube.com/watch?v=PaUSkXQZZ_s,http://www.youtube.com/watch?v=INF9r5jju0A,http://www.youtube.com/watch?v=1IwaqfepCgc,1.12,2.2,2.08,2.01-2 ,2.02-1 
Don_Giovanni8,La ci darem la mano,Don Giovanni a cenar teco,Sola sola in buio loco,Leporello!,Ah! taci ingiusto core,http://www.youtube.com/watch?v=iJnJjpMdT3Y,http://www.youtube.com/watch?v=RzQMtnjiceY,http://www.youtube.com/watch?v=PaUSkXQZZ_s,http://www.youtube.com/watch?v=INF9r5jju0A,http://www.youtube.com/watch?v=1IwaqfepCgc,1.12,2.2,2.08,2.01-2 ,2.02-1 
Don_Giovanni9,La ci darem la mano,Don Giovanni a cenar teco,Sola sola in buio loco,Leporello!,Ah! taci ingiusto core,http://www.youtube.com/watch?v=iJnJjpMdT3Y,http://www.youtube.com/watch?v=RzQMtnjiceY,http://www.youtube.com/watch?v=PaUSkXQZZ_s,http://www.youtube.com/watch?v=INF9r5jju0A,http://www.youtube.com/watch?v=1IwaqfepCgc,1.12,2.2,2.08,2.01-2 ,2.02-1 
